point,"Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)"
receptor,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2
time,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.0005405405405405,49.25661081081081,0.010005405405405406,0.00010005405405405405,0.6177920127637528,30.413900788359552,0.006177920127637529,6.177920127637529e-05,0.5726749660535646,28.192788578816984,0.005726749660535647,5.7267496605356466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.9856562363027027,-1.5297813246557828,0.019867289930594598,0.0002987801749816217,0.608289546724123,-0.9440918185152292,0.012260932707989992,0.00018438969948738753,0.5638652575143333,-0.8751433905631416,0.011365498578742087,0.0001709234458234084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.9709851348080675,-1.5070111373917057,0.029587540981311684,0.0005948119838297513,0.5989330662427116,-0.9295701540872151,0.018250492213788376,0.0003668980631546772,0.555190928569401,-0.8616804549724788,0.01691759612236152,0.00034010223822007724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.956524442214839,-1.4845675138889594,0.03916802676342031,0.0009867986555534302,0.5897203339128414,-0.9152715930390369,0.02414803093598667,0.0006083851148750959,0.5466499032337088,-0.848424412377984,0.022384371057472662,0.000563951495395533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9422713927464725,-1.4624461615421245,0.04861059627704368,0.0014734048596519514,0.5806491464547079,-0.9011927157846766,0.02995495931872593,0.0009079457157724763,0.5382401372215593,-0.8353720899594004,0.027767131860297854,0.0008416318694876853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.9282232487166869,-1.4406428313430975,0.05791707932001075,0.002053310696021693,0.5717173341998866,-0.8873301549044154,0.03567266628934271,0.0012646885531434678,0.529959617466724,-0.8225203633504338,0.033067167024375156,0.001172316845660178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.9143773005401177,-1.4191533178976046,0.06708928650018346,0.002725211626276064,0.5629227605834716,-0.8736805943566383,0.04130251958349194,0.001677735931252142,0.5218063616496866,-0.8098661559050148,0.038285745363161754,0.0015551925475321313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
